feature54893\HO_test\source_md\spy.md,Succeeded,Successful
feature54893\HO_test\source_md\tutrial.md,Succeeded,Successful
feature54893\HO_test\source_md\ignoreME.txt,Skipped,Skipped - No tranformation required
