feature54893\HB_test\localized_xlf\about-microsoft-spy-increment.md,Skipped,Skipped - No tranformation required
feature54893\HB_test\localized_xlf\test.xlf,Skipped,Skipped - No tranformation required
feature54893\HB_test\localized_xlf\C&E_JPN_62943954_tutorial-editor.md.xlf,Failed,Failed - Exception Occured - Skl file for path: docs\get-started\tutorial-editor.md is not found.
feature54893\HB_test\localized_xlf\spy_CHT.md.xlf,Failed,Failed - Exception Occured - Skl file for path: about-microsoft-spy-increment.md is not found.
feature54893\HB_test\localized_xlf\internalTag_missing.xlf,Skipped,Skipped - No tranformation required
